spot_number,6am,7am,8am,9am,10am,11am,12pm,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,unique_zone,number_of_times_occupied,number_of_unique_cars,spot_type
278,true,true,true,true,true,false,false,false,true,false,true,true,true,true,true,9Left,11,3,Resident Only
279,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,9Left,15,1,Resident Only
280,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,9Left,4,1,Resident Only
281,true,false,true,false,true,false,true,true,true,true,false,true,true,true,true,9Left,11,5,Resident Only
282,true,true,true,true,false,true,false,false,false,false,true,true,true,true,true,9Left,10,2,Resident Only
283,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11Left,15,1,Resident Only
284,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,11Left,9,2,Resident Only
285,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11Left,15,2,Resident Only
286,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11Left,15,2,Resident Only
287,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11Left,15,4,Resident Only
288,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,11Left,15,1,Resident Only
289,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,12Left,4,1,Resident Only
290,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,12Left,13,1,Resident Only
291,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12Left,0,0,Resident Only
292,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Left,14,2,Resident Only
293,true,true,true,true,true,true,false,false,false,false,true,true,true,true,true,12Left,11,2,Resident Only
294,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12Left,0,0,Resident Only
295,true,true,false,false,true,false,false,false,false,false,false,true,true,true,true,12Left,7,3,Resident Only
296,true,true,true,false,false,false,false,false,true,true,true,true,true,true,true,12Left,10,2,Resident Only
297,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,12Left,14,2,Resident Only
298,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,12Left,2,1,Resident Only
299,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,12Left,14,1,Resident Only
300,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12Left,1,1,Resident Only
301,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Left,15,1,Resident Only
302,true,true,false,false,false,false,false,false,false,false,false,false,true,true,true,12Left,5,2,Resident Only
303,true,true,false,false,false,false,false,false,true,false,true,true,true,true,true,12Left,8,3,Resident Only
304,false,false,false,false,false,false,false,true,true,true,true,true,true,false,true,12Left,7,3,Resident Only
305,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true,12Left,9,1,Resident Only
306,true,true,true,true,true,true,false,false,false,false,false,false,false,false,false,12Left,6,2,Resident Only
307,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,12Left,0,0,Resident Only
308,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,12Left,14,2,Resident Only
309,true,false,false,false,false,false,false,false,true,true,true,true,true,true,true,12Left,8,2,Resident Only
310,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,12Left,2,1,Resident Only
311,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Left,15,2,Resident Only
312,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,12Left,4,2,Resident Only
313,true,false,false,false,true,true,true,false,true,true,true,true,true,true,true,12Left,11,4,Resident Only
314,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Left,15,1,Resident Only
315,true,true,true,false,false,false,false,false,false,false,false,true,true,true,true,12Left,7,2,Resident Only
316,false,false,true,false,true,true,true,true,true,true,true,true,true,true,true,12Left,12,3,Resident Only
317,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,12Left,15,1,Resident Only
